1/1/1 22 December 1967, Nicholas Parsons with Derek Nimmo, Clement Freud, Wilma Ewart and Beryl Reid, excuses for being late.
819/68/1 10 February 2014, Nicholas Parsons with Paul Merton, Tony Hawks, Gyles Brandreth and Fi Glover, growing bananas.
820/68/2 17 February 2014, Nicholas Parsons with Paul Merton, Alun Cochrane, Russell Kane and Rebecca Front, Dickensian London.
821/68/3 24 February 2014, Nicholas Parsons with Paul Merton, Sheila Hancock, Josie Lawrence and Richard Herring, hot cross buns.
822/68/4 3 March 2014, Nicholas Parsons with Paul Merton, Graham Norton, Miles Jupp and Holly Walsh, the tempest.
823/68/5 10 March 2014, Nicholas Parsons with Paul Merton, Tony Hawks, Gyles Brandreth and Fi Glover, painting the ceiling.
824/68/6 17 March 2014, Nicholas Parsons with Paul Merton, Sheila Hancock, Josie Lawrence and Richard Herring, April showers.
825/68/7 24 March 2014, Nicholas Parsons with Paul Merton, Alun Cochrane, Russell Kane and Rebecca Front, a habitual lie.
826/68/8 31 March 2014, Nicholas Parsons with Paul Merton, Graham Norton, Miles Jupp and Holly Walsh, a shotgun wedding.
827/69/1 19 May 2014, Nicholas Parsons with Paul Merton, Jenny Eclair, Julian Clary and Vanessa Feltz, exam revision.
828/69/2 26 May 2014, Nicholas Parsons with Gyles Brandreth, Shappi Khorsandi, Paul Sinha and Patrick Kielty, how to make the most of a bank holiday.
829/69/3 2 June 2014, Nicholas Parsons with Paul Merton, Sheila Hancock, Kevin Eldon and Joe Lycett, how to prepare sushi.
830/69/4 9 June 2014, Nicholas Parsons with Paul Merton, Jenny Eclair, Julian Clary and Vanessa Feltz, random acts of kindness.
831/69/5 16 June 2014, Nicholas Parsons with Gyles Brandreth, Shappi Khorsandi, Paul Sinha and Patrick Kielty, the summer solstice.
832/69/6 23 June 2014, Nicholas Parsons with Paul Merton, Sheila Hancock, Kevin Eldon and Joe Lycett, the confessions of a Radio Four panellist.
833/70/1 11 August 2014, Nicholas Parsons with Paul Merton, Liza Tarbuck, Alun Cochrane and Jonathan Ross, why I hate roller coasters.
834/70/2 18 August 2014, Nicholas Parsons with Paul Merton, Gyles Brandreth, Sue Perkins and Frank Skinner, fireworks.
835/70/3 25 August 2014, Nicholas Parsons with Paul Merton, Gyles Brandreth, Sue Perkins and Josie Long, the Commonwealth.
836/70/4 1 September 2014, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Stephen Mangan and Kerry Godliman, ode to joy.
837/70/5 8 September 2014, Nicholas Parsons with Paul Merton, Sheila Hancock, Russell Kane and Holly Walsh, 900 jams.
838/70/6 15 September 2014, Nicholas Parsons with Paul Merton, Liza Tarbuck, Alun Cochrane and Jonathan Ross, the night I dreamt I painted the Sistine Chapel.
839/70/7 22 September 2014, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Stephen Mangan and Kerry Godliman, things to do on a rainy day.
840/70/8 29 September 2014, Nicholas Parsons with Paul Merton, Sheila Hancock, Russell Kane and Holly Walsh, the Mona Lisa.
841/71/1 9 February 2015, Nicholas Parsons with Paul Merton, Julian Clary, Stephen Fry and David Tennant, a banana skin.
JJAM6/2/1 16 February 2015, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Kalaivanan ? and Hamish McRae, my earliest memory.
842/71/2 16 February 2015, Nicholas Parsons with Paul Merton, Tony Hawks, Josie Lawrence and Alun Cochrane, a cathedral city.
JJAM7/2/2 17 February 2015, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Amy ? and David ?, my least favourite smell.
JJAM8/2/3 18 February 2015, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Oliver ? and Sarah Smart, my ideal picnic.
JJAM9/2/4 19 February 2015, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Lottie Davies and Arun Uttamchandani, things of which I am scared.
JJAM10/2/5 20 February 2015, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Rufus ? and Emily Slade, the last time I laughed so hard.
843/71/3 23 February 2015, Nicholas Parsons with Gyles Brandreth, Jenny Eclair, Marcus Brigstocke and Shappi Khorsandi, elephant and castle.
844/71/4 2 March 2015, Nicholas Parsons with Paul Merton, Sheila Hancock, Graham Norton and Robin Ince, paranormal activity.
845/71/5 9 March 2015, Nicholas Parsons with Paul Merton, Tony Hawks, Josie Lawrence and Alun Cochrane, the Canterbury tales.
846/71/6 16 March 2015, Nicholas Parsons with Gyles Brandreth, Jenny Eclair, Marcus Brigstocke and Shappi Khorsandi, heavy metal.
847/71/7 23 March 2015, Nicholas Parsons with Paul Merton, Sheila Hancock, Graham Norton and Robin Ince, a writing desk.
848/71/8 30 March 2015, Nicholas Parsons with Paul Merton, Julian Clary, Stephen Fry and David Tennant, the world cup.
849/72/1 18 May 2015, Nicholas Parsons with Paul Merton, Graham Norton, Tim Rice and Liza Tarbuck, English sparkling wine.
850/72/2 25 May 2015, Nicholas Parsons with Paul Merton, Gyles Brandreth, Alun Cochrane and Susan Calman, Nelson’s column.
851/72/3 1 June 2015, Nicholas Parsons with Paul Merton, Sheila Hancock, Pam Ayres and Mike McShane, the first cuckoo.
852/72/4 8 June 2015, Nicholas Parsons with Paul Merton, Gyles Brandreth, Marcus Brigstocke and Lucy Beaumont, Saint Patrick.
853/72/5 15 June 2015, Nicholas Parsons with Paul Merton, Graham Norton, Tim Rice and Liza Tarbuck, the Cornish pasty.
854/72/6 22 June 2015, Nicholas Parsons with Paul Merton, Sheila Hancock, Pam Ayres and Mike McShane, a hat-trick.
855/72/7 29 June 2015, Nicholas Parsons with Paul Merton, Gyles Brandreth, Marcus Brigstocke and Lucy Beaumont, received pronunciation.
856/72/8 6 July 2015, Nicholas Parsons with Paul Merton, Gyles Brandreth, Alun Cochrane and Susan Calman, frozen peas.
864/73/8 24 August 2015 and 23 November 2015, Nicholas Parsons with Paul Merton, Gyles Brandreth, Susan Calman and Tom Allen, whisky galore.
857/73/1 5 October 2015, Nicholas Parsons with Paul Merton, Gyles Brandreth, Janey Godley and Joe Lycett, street performers.
858/73/2 12 October 2015, Nicholas Parsons with Paul Merton, Julian Clary, Josie Lawrence and Susan Calman, a room with a view.
859/73/3 19 October 2015, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Sue Perkins and Andy Hamilton, South Pacific.
860/73/4 26 October 2015, Nicholas Parsons with Paul Merton, Sheila Hancock, Jenny Eclair and Josh Widdicombe, caravanning.
861/73/5 2 November 2015, Nicholas Parsons with Paul Merton, Julian Clary, Josie Lawrence and Susan Calman, the sky at night.
JJAM11/2/6 8 November 2015, Nicholas Parsons with Paul Merton, Josie Lawrence, Douglas ? and Mathilda ?, the school disco.
862/73/6 9 November 2015, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Sue Perkins and Andy Hamilton, dropping a clanger.
863/73/7 16 November 2015, Nicholas Parsons with Paul Merton, Sheila Hancock, Jenny Eclair and Josh Widdicombe, festive spirits.
JJAM12/2/7 25 December 2015, Nicholas Parsons with Paul Merton, Josie Lawrence, Joe ? and Sophie ?, if I owned a reindeer.
865/74/1 22 February 2016, Nicholas Parsons with Paul Merton, Graham Norton, Pam Ayres and Rufus Hound, optimism.
866/74/2 29 February 2016, Nicholas Parsons with Paul Merton, Gyles Brandreth, Tim Rice and Esther Rantzen, bubble and squeak.
867/74/3 7 March 2016, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Stephen Fry and Nish Kumar, a catnap.
868/74/4 14 March 2016, Nicholas Parsons with Paul Merton, Graham Norton, Pam Ayres and Rufus Hound, breakfast at Tiffany's.
869/74/5 21 March 2016, Nicholas Parsons with Paul Merton, Gyles Brandreth, Tim Rice and Esther Rantzen, Kermit the frog.
870/74/6 28 March 2016, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Stephen Fry and Nish Kumar, a vintage year.
871/75/1 16 May 2016, Nicholas Parsons with Paul Merton, Sheila Hancock, Gyles Brandreth and John Finnemore, Halley's comet.
872/75/2 23 May 2016, Nicholas Parsons with Paul Merton, Graham Norton, Josie Lawrence and Alexei Sayle, clock watching.
873/75/3 30 May 2016, Nicholas Parsons with Paul Merton, Sheila Hancock, Gyles Brandreth and John Finnemore, saving graces.
874/75/4 6 June 2016, Nicholas Parsons with Paul Merton, Marcus Brigstocke, Holly Walsh and Josh Widdicombe, Pinocchio.
875/75/5 13 June 2016, Nicholas Parsons with Paul Merton, Graham Norton, Josie Lawrence and Alexei Sayle, Virginia Wade.
876/75/6 20 June 2016, Nicholas Parsons with Paul Merton, Marcus Brigstocke, Holly Walsh and Josh Widdicombe, rock and roll.
877/76/1 8 August 2016, Nicholas Parsons with Paul Merton, Gyles Brandreth, Josie Lawrence and Katherine Ryan, A and E.
878/76/2 15 August 2016, Nicholas Parsons with Paul Merton, Tony Hawks, Julian Clary and Zoe Lyons, Andy Warhol.
879/76/3 22 August 2016, Nicholas Parsons with Paul Merton, Marcus Brigstocke, Janey Godley and Nish Kumar, the royal mile. 
